movie_name,quote,ranking,score,score_num
新世界,要做就做得狠一点，这样才能活下去。,145,8.9,391500
射雕英雄传之东成西就,百看不厌。 ,146,8.7,601677
阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,147,8.8,570023
哪吒闹海,想你时你在闹海。,148,9.2,243154
我是山姆,爱并不需要智商 。,149,9.0,319419
恐怖直播,恐怖分子的“秋菊打官司”。,150,8.7,619081
头号玩家,写给影迷，动漫迷和游戏迷的一封情书。,151,8.7,1298154
模仿游戏,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,152,8.8,610448
血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,153,8.7,748754
喜宴,中国家庭的喜怒哀乐忍。,154,9.0,335750
七武士,时代悲歌。,155,9.3,185583
花样年华,偷情本没有这样美。,156,8.7,566296
头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,157,8.8,573578
九品芝麻官,,158,8.7,625675
黑客帝国3：矩阵革命,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,159,8.8,425170
电锯惊魂,真相就在眼前。,160,8.8,501327
三块广告牌,怼天怼地，你走后，她与世界为敌。,161,8.7,781085
惊魂记,故事的反转与反转，分裂电影的始祖。,162,9.0,268208
你的名字。,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,163,8.5,1315145
达拉斯买家俱乐部,Jared Leto的腿比女人还美！,164,8.8,430595
卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,165,8.9,310739
疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,166,8.7,799451
上帝之城,被上帝抛弃了的上帝之城。,167,9.0,287639
心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,168,8.7,488343
谍影重重3,像吃了苏打饼一样干脆的电影。,169,8.8,397566
色，戒,假戏真情，爱欲深海,170,8.6,731208
英雄本色,英雄泪短，兄弟情长。 ,171,8.6,505238
风之谷,动画片的圣经。,172,8.9,339382
纵横四海,香港浪漫主义警匪动作片的巅峰之作。,173,8.8,398017
茶馆,,174,9.5,120460
海街日记,是枝裕和的家庭习作。,175,8.8,420411
记忆碎片,一个针管引发的血案。,176,8.7,573329
岁月神偷,岁月流逝，来日可追。,177,8.7,555075
爱在午夜降临前,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,178,8.9,370598
绿里奇迹,天使暂时离开。,179,8.9,306600
忠犬八公物语,养狗三日，便会对你终其一生。,180,9.2,183136
荒蛮故事,始于荒诞，止于更荒诞。,181,8.8,418597
爆裂鼓手,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,182,8.7,552291
小偷家族,我们组成了家。,183,8.7,777379
疯狂的石头,中国版《两杆大烟枪》。,184,8.6,774129
无敌破坏王,迪士尼和皮克斯拿错剧本的产物。,185,8.7,507164
贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,186,8.6,714116
雨中曲,骨灰级歌舞片。,187,9.1,207280
东邪西毒,电影诗。,188,8.6,548750
冰川时代,松鼠才是角儿。,189,8.6,582201
真爱至上,爱，是个动词。,190,8.6,690015
恐怖游轮,不要企图在重复中寻找已经失去的爱。,191,8.5,803019
